punto,este,norte,elevacion,descrip
152,809353.109,8077404.922,2892.819,p162
153,809361.963,8077408.594,2894.635,p163
154,809363.388,8077397.954,2893.676,p164
155,809365.471,8077389.493,2893.185,p165
156,809368.029,8077387.375,2892.812,p166
157,809357.608,8077375.931,2889.639,p167
158,809340.389,8077359.963,2885.731,p168
159,809335.206,8077355.032,2884.698,p169
160,809334.604,8077353.504,2883.803,p170
161,809380.561,8077352.981,2888.007,p171
162,809382.035,8077351.049,2887.851,p172
163,809386.994,8077359.427,2890.114,p173
164,809390.333,8077364.541,2890.369,p174
165,809390.895,8077371.399,2891.07,p175
166,809397.562,8077362.843,2891.054,p176
167,809406.866,8077347.651,2890.416,p177
168,809386.575,8077375.078,2891.92,p178
169,809376.93,8077381.759,2893.18,p179
170,809367.075,8077413.116,2894.918,p180
171,809378.637,8077424.588,2896.229,p181
172,809382.02,8077431.01,2896.68,p182
173,809388.361,8077434.297,2897.096,p183
174,809394.453,8077440.24,2899.077,p184
175,809405.882,8077445.837,2900.24,p185
176,809414.362,8077453.464,2904.79,p186
177,809424.038,8077464.434,2909.388,p187
178,809428.904,8077466.043,2908.476,p188
179,809430.923,8077458.711,2908.273,p189
180,809434.309,8077448.823,2907.299,p190
181,809435.736,8077434.618,2906.637,p191
182,809438.142,8077415.883,2905.126,p192
183,809441.056,8077399.48,2903.041,p193
184,809442.456,8077388.413,2901.401,p194
185,809442.992,8077385.761,2899.107,p195
186,809442.081,8077385.548,2899.012,p196
187,809443.439,8077373.7,2898.239,p197
188,809442.71,8077370.898,2896.594,p198
189,809443.106,8077366.805,2895.576,p199
190,809442.924,8077364.257,2895.277,p200
191,809444.683,8077365.11,2895.223,p201
192,809438.77,8077385.229,2898.174,p202
193,809428.859,8077468.467,2908.907,p203
194,809428.899,8077471.625,2909.088,p204
195,809435.611,8077480.091,2911.545,p205
196,809435.606,8077480.076,2911.554,p206
197,809438.433,8077480.446,2912.337,p207
198,809444.748,8077483.773,2913.352,p208
199,809447.587,8077483.221,2913.318,p209
200,809449.463,8077481.158,2913.231,p210
201,809455.934,8077480.045,2913.581,p211
202,809467.784,8077483.329,2914.635,p212
203,809471.017,8077485.677,2914.696,p213
204,809474.161,8077491.965,2915.017,p214
205,809476.434,8077493.08,2915.009,p215
206,809491.651,8077490.162,2919.874,p216
207,809486.04,8077484.776,2917.207,p217
208,809482.35,8077474.715,2916.147,p218
209,809479.958,8077467.838,2915.111,p219
210,809499.259,8077492.645,2923.985,p220
211,809517.855,8077495.533,2927.111,p221
212,809528.399,8077495.89,2925.006,p222
213,809529.376,8077489.642,2925.252,p223
214,809553.91,8077520.223,2930.224,p224
215,809576.526,8077544.109,2935.32,p225
216,809588.128,8077558.884,2940.523,p226
217,809624.67,8077549.632,2939.844,p227
218,809626.708,8077549.833,2942.424,p228
219,809620.959,8077558.398,2944.131,p229
220,809612.408,8077572.334,2942.177,p230
221,809602.909,8077584.76,2943.036,p231
222,809602.642,8077586.165,2942.066,p232
223,809595.567,8077591.55,2942.179,p233
224,809586.77,8077594.766,2941.765,p234
225,809572.41,8077597.329,2941.658,p235
226,809552.591,8077600.639,2941.138,p236
227,809647.611,8077543.803,2944.504,p237
228,809644.594,8077515.046,2936.372,p238
